feature,importance
TotalStopTime,0.4032459457725811
LoadTravelTime,0.17497726830756324
EmptyTravelTime,0.07654807066239452
FuelBurned,0.06969334081433724
LoadTime,0.06166452008454514
Payload,0.05472833140049278
LoadTravelDistance,0.040786246701717856
EmptyTravelDistance,0.028258324653102598
DistanceTravelled,0.020400359426820308
Hour_17,0.01216411918339095
Hour_5,0.009913390071143112
Hour_8,0.009265107096981477
Hour_2,0.007103126403418667
Hour_21,0.003944037598515862
Shift_Night,0.0034075972993301918
